feature,importance
total_distance,0.13186751209147166
driver_hist_atd,0.13147090835896244
dropoff_distance,0.0847726524191313
pickup_distance,0.0492738056482952
territory,0.01913842650617681
hour,0.015984054263341336
merchant_surface,0.012450489975691759
courier_flow,0.01123964072148261
dow,0.005810525836931831
geo_archetype,0.004104657129165819
is_peak_dinner,0.0003118593979929048
log_pickup,0.0
is_weekend,0.0
log_dropoff,0.0
is_late_night,-1.3235620754207626e-06
is_peak_lunch,-0.00027251254906561034
